model_id,model_label,revision,step,tokens_seen,lang,subject,layer,best_alpha,parcel,n_voxels_left,n_voxels_right,mean_pearson_left,mean_pearson_right,lateralization_index,lateralization_pvalue,mean_pearson,model_dir,n_params,n_params_b,log10_n_params,encoding,best_step,best_layer
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Parahippocampal Gyrus, posterior division",15,4,0.4738762943661284,0.4509212653204364,0.0229550290456919,0.3235765169871651,0.4690436566722986,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.46239877984328237,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Lingual Gyrus,0,0,,,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Temporal Fusiform Cortex, anterior division",0,0,,,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Temporal Fusiform Cortex, posterior division",2,0,0.5197065663126217,,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.5197065663126217,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Temporal Occipital Fusiform Cortex,0,6,,0.3778410772320768,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.3778410772320768,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Occipital Fusiform Gyrus,6,13,0.3627381468247765,0.3325345096417276,0.0302036371830489,0.3421633361749286,0.3420725003311115,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.3476363282332521,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Frontal Opercular Cortex,17,29,0.3964500976711744,0.4192050247152628,-0.0227549270440883,0.1973080206249286,0.4107955951554911,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.4078275611932186,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Central Opercular Cortex,38,13,0.3474961011561395,0.3221032895754779,0.0253928115806615,0.2102242052161349,0.3410234236944022,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.33479969536580867,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Parietal Opercular Cortex,48,13,0.3815440222226103,0.3378756531817761,0.0436683690408342,0.0167911319151119,0.3722376484925965,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.3597098377021932,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Planum Polare,31,31,0.3701230877818269,0.362790180456972,0.0073329073248549,0.5068396889169785,0.3664566341193993,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.36645663411939944,143000,11
