model_id,model_label,revision,step,tokens_seen,lang,subject,layer,best_alpha,roi,mean_pearson,std_pearson,n_voxels,model_dir,n_params,n_params_b,log10_n_params
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,7,24307.85444444444,aSTS,0.3805089942148886,0.0216074630803777,40,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,7,24307.85444444444,pSTS,0.3983597121886792,0.0402707907499117,53,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,8,27071.358888888888,AG_TPJ,0.3849444557563716,0.0544786850700489,56,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,8,27071.358888888888,BA44,0.4286685789373585,0.0486775497969756,37,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,8,27071.358888888888,BA45,0.4709856943793196,0.0653837567247303,50,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,8,27071.358888888888,BA47,0.4160437049052444,0.0362048439026434,68,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,8,27071.358888888888,TP,0.4155544318466345,0.0468358873015037,32,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,8,27071.358888888888,aSTS,0.3791665331524839,0.0248468287721538,40,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,8,27071.358888888888,pSTS,0.3994084169346485,0.0396855119798053,53,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,9,21544.35,AG_TPJ,0.4172779254269628,0.0530417906711135,56,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,9,21544.35,BA44,0.4409676535678452,0.0489007820828026,37,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,9,21544.35,BA45,0.4815557368312423,0.0623844574500193,50,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,9,21544.35,BA47,0.4242680354112457,0.0361756160751771,68,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,9,21544.35,TP,0.4262204554588957,0.0476383044603188,32,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,9,21544.35,aSTS,0.3951498717172187,0.02922030979519,40,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,9,21544.35,pSTS,0.4168132711172206,0.0423026526995793,53,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,10,21544.35,AG_TPJ,0.4341719932521679,0.0524279075524143,56,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,10,21544.35,BA44,0.4507868702006865,0.0450237914059239,37,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,10,21544.35,BA45,0.4887049605539177,0.0588266165479656,50,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,10,21544.35,BA47,0.4298480394661771,0.0347755037678539,68,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,10,21544.35,TP,0.4353729641965537,0.0479198113002209,32,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
